Municipality_code;Life_expectance;Residents;Median_age;Elderly;Dependency_ratio;Women;Per_capita_births;Married;Evangelics;Disability_rate;Municipal_density;Urban_area;Fridge;Computer_ownership;Automobile_ownership;Hosehold_density;Favela (slums) residents;Electricity;Green_spaces;Paved_street;Whites;Illiteracy_rate;College_education;Highschool_completion;Migrants;Foreigners;Median_income;Unemployment;Child_labor;Retired_residents;Overworking;Poor_children;Per_capita_GDP;Gini_coefficient;Bolsa_Familia_Coverage;Communiting;State_of_residence;Priv_Insurance
110001;70.75;24392;27;8.79;53.51;48.11;16.7;38.63;26.9;23.88;3.45;57.27;90.67;21.14;20.81;3.32;0.09;94.43;0.2;0.16;42.43;89.3;5.5;13.77;6.51;0;558.96;2.99;11.29;13.05;32.9;63.94;10725.97;0.59;83.52;2.3;RO;6.06
110002;73.36;90353;26.07;6.67;51.99;49.59;18.05;30.13;33.67;21.6;20.41;84.7;94.62;31.52;29.2;3.3;0.1;98.42;0.25;0.63;37.14;92.8;8.16;23.42;9.19;0.12;810;3.23;10.16;8.94;32.75;44.82;15070.14;0.55;94.89;3.93;RO;8.00
110003;70.39;6313;28.74;10.09;55.88;48.27;15.06;43.9;28.56;23.77;4.8;42.66;93.68;19.18;28.97;3.19;0;97.17;0.01;0.24;46.7;87.8;4.93;15.49;7.05;0.05;532.8;1.58;12.97;15.05;21.72;63.66;10968;0.52;71.4;3.48;RO;3.04
110004;74.27;78574;27.28;8.1;49.55;50.21;15.74;42.25;39.04;25.34;20.72;78.81;97.23;34.13;31.07;3.23;0.03;99.09;0.68;0.33;43.26;92.5;8.74;19.4;7.94;0.05;850.19;3.95;14.09;12;25.56;44.52;15068.72;0.59;57.72;2.57;RO;10.31
110005;72.94;17029;27.91;9.97;53.12;49.79;14.13;41.66;29.89;24.97;6.12;84.67;97.31;26.46;30.13;3.18;0;98.67;0.29;0.14;45.85;90.7;7.01;17;12.47;0.11;653.45;3.51;12.92;14.35;36.64;53.43;13024.11;0.51;69.96;5.44;RO;4.02
110006;73.81;18591;28.39;10.74;53.58;49.81;13.72;43.09;28.22;25.88;12.81;73.46;96.16;29.05;26.86;3.11;0.13;97.81;0.08;0.2;41.29;88.8;7.91;15.48;7.85;0.16;597.27;3.97;12.15;16.99;24.39;56.56;10340.54;0.52;82.59;3.03;RO;6.18
110007;71.45;8783;27.36;8.4;52.16;46.36;12.84;41.58;23.74;21.58;2.87;29.49;91.44;14.41;20.47;3.26;0;98.02;0.17;0.09;37.64;88.8;4.62;8.52;7.61;0.06;486.66;2.15;19.1;14.66;19.29;62.74;13041.36;0.49;83.05;1.36;RO;1.20
110008;70.04;13678;22.98;6.37;66.2;47.35;18.73;27.28;30.35;26.82;2.74;54.81;79.58;15.76;15.85;3.65;0.15;88.51;0.24;0.06;32.13;92.5;5.03;15.02;6.95;1.58;449.9;3.13;18.22;9.06;24.91;71.29;7873.85;0.52;53.97;0.39;RO;1.78
110009;74.15;28729;26.91;8.05;53.34;49.16;17.57;36.69;41.18;22.54;6.36;71.74;94.14;24.1;26.22;3.29;0.03;96.89;0.41;0.28;45.56;89.7;5.74;12.56;8.22;0.03;686.39;3.13;23.06;11.71;30;51.44;10835.74;0.54;59.53;2.86;RO;5.16
110010;74.39;41656;23.49;7.26;64.07;49.71;22.08;21.37;30.3;20.76;1.68;84.52;88.74;27.05;19.95;3.75;0;97.53;0.11;0.31;21.41;92.7;7.23;23.94;5.95;2.27;588.54;4.11;5.69;9.78;19.87;60.13;14355.17;0.56;86.02;4.63;RO;4.98
110011;74.51;52005;26.53;7.98;53.27;50;16.47;39.47;38.66;19.02;17.66;67.53;96.93;26.46;24.75;3.26;0.39;99.46;0.27;0.22;32.87;90.3;6.97;17.15;6.78;0.05;668.83;3.34;13.83;12.96;24.73;45.56;15300.42;0.51;43.6;2.46;RO;5.35
110012;73.6;116610;27;7.57;49.47;50.41;16.81;36.39;39.21;22.39;16.91;89.92;97.43;35.32;31.31;3.26;0.13;99.49;0.14;0.24;39.62;92.9;8.77;25.34;8.89;0.09;845.34;3.89;11.91;10.84;26.78;42.85;15895.39;0.54;56.71;3.19;RO;11.79
110013;70.32;31135;25.46;6.78;58.63;46.89;17.57;33.83;33.59;23.72;3.66;51.94;81.61;15.93;17.5;3.38;0.47;87.96;0.05;0.22;32;89.4;3.73;10.16;7.95;0;488.09;2.45;17.06;11.55;25.14;65.99;8733.83;0.56;54.35;2.03;RO;2.13
110014;70.75;19874;26.92;8.67;53.76;47.95;15.12;42.3;33.7;20.8;17.2;42.17;90.62;15.92;18.25;3.32;0;95.11;0.07;0.12;41.39;90;4.78;13.95;4.6;0.15;576.13;2.37;25.52;11.98;22.98;61.96;8742.24;0.57;62.08;1.77;RO;1.81
110015;73.72;37928;27.18;8.91;52.41;50.7;17.19;37.24;35.98;24.71;19.25;74.3;97.42;30.67;25.73;3.24;0;99.1;0.59;0.27;36.8;90.6;6.23;17.75;7.96;0;667.71;5.13;12.47;14.97;26.53;45.24;12586.3;0.49;76.41;3.54;RO;7.49
110018;73.15;33822;26.73;7.71;50.72;49.62;16.93;33.9;34.34;24.33;5.42;86.98;96.47;31.72;27.4;3.35;0.09;98.81;0.71;0.32;39.92;92.5;8.1;20.54;10.09;0.05;857.27;3.88;13.42;10.1;31;38.49;16002.07;0.55;49.47;4.75;RO;9.87
110020;74.14;428527;26.19;5.69;47.16;49.22;19.89;26.21;32.34;21.56;12.57;91.59;94.67;39.48;37.25;3.54;0.51;97.83;0.36;0.43;29.02;95.2;12.38;31.26;13.45;0.16;1052.94;3.85;9.28;7.68;25.02;37.41;21231.04;0.57;33.39;0.96;RO;20.01
