"";"CD_MUNIC";"ano";"Pop";"Obitos";"PopPad";"Obtadj";"tx";"txadj"
"1";110001;2013;25728;6;1e+06;234,907903153061;23,3208955223881;23,4907903153061
"2";110002;2013;101269;60,2;1e+06;555,656110352658;59,4456348932052;55,5656110352658
"3";110003;2013;6495;0,8;1e+06;124,830712786029;12,3171670515781;12,4830712786029
"4";110004;2013;85863;17;1e+06;186,573935509651;19,7989820993909;18,6573935509651
"5";110005;2013;18041;4,2;1e+06;224,696280880841;23,2803059697356;22,4696280880841
"6";110006;2013;19190;1,9;1e+06;98,5304319385457;9,9009900990099;9,85304319385457
"7";110007;2013;9036;1,3;1e+06;139,5351763342;14,3868968570164;13,95351763342
"8";110008;2013;15853;2,5;1e+06;160,49976895221;15,7698858260266;16,049976895221
"9";110009;2013;31699;4,1;1e+06;129,16807257589;12,9341619609451;12,916807257589
"10";110010;2013;45761;8,4;1e+06;186,148237472894;18,3562422149866;18,6148237472894
"11";110011;2013;55597;15,8;1e+06;273,370592778449;28,4187995755167;27,3370592778449
"12";110012;2013;128026;25,1;1e+06;185,190404697467;19,605392654617;18,5190404697467
"13";110013;2013;35633;16,7;1e+06;493,63072295445;46,8666685375916;49,363072295445
"14";110014;2013;21427;4,9;1e+06;218,113894181037;22,8683436785364;21,8113894181037
"15";110015;2013;40099;8;1e+06;189,641937225594;19,9506222100302;18,9641937225594
"16";110018;2013;36939;7,9;1e+06;211,96173374756;21,3866103576166;21,196173374756
"17";110020;2013;484992;180,5;1e+06;347,975420217503;37,2171087358142;34,7975420217503
"18";110025;2013;23017;2,6;1e+06;109,507792198629;11,2959986097232;10,9507792198629
"19";110026;2013;3666;1,2;1e+06;326,179452189549;32,7332242225859;32,6179452189549
"20";110028;2013;55357;9,9;1e+06;171,630135909828;17,8839171197861;17,1630135909828
"21";110029;2013;8887;0,6;1e+06;69,7952947166832;6,75143467986947;6,97952947166832
"22";110030;2013;87727;30,2;1e+06;326,641895792138;34,4249774869766;32,6641895792138
"23";110032;2013;23668;4,6;1e+06;211,822429760477;19,4355247591685;21,1822429760477
"24";110033;2013;26227;9,9;1e+06;408,741137277951;37,7473595912609;40,8741137277951
"25";110034;2013;17399;1,7;1e+06;96,143498481599;9,77067647565952;9,6143498481599
"26";110037;2013;13827;2,4;1e+06;180,373210685767;17,3573443263181;18,0373210685767
"27";110040;2013;19459;9;1e+06;455,452120089074;46,2510920396732;45,5452120089074
"28";110045;2013;36555;20,7;1e+06;566,660001467419;56,6270004103406;56,6660001467419
"29";110050;2013;10515;0,9;1e+06;83,61066174594;8,55920114122682;8,361066174594
"30";110060;2013;6268;1,5;1e+06;253,768287458211;23,9310784939375;25,3768287458211
"31";110070;2013;13939;7,2;1e+06;533,916767199157;51,6536336896477;53,3916767199157
"32";110080;2013;22973;10,7;1e+06;481,05063253849;46,576415792452;48,105063253849
"33";110090;2013;3689;0,7;1e+06;178,254571822202;18,9753320683112;17,8254571822202
"34";110092;2013;9636;3,2;1e+06;379,602708369679;33,208800332088;37,9602708369679
"35";110094;2013;19410;6,4;1e+06;340,471244376088;32,9726944873776;34,0471244376088
"36";110100;2013;10534;2,2;1e+06;211,459955796311;20,8847541294855;21,1459955796311
"37";110110;2013;9661;2,7;1e+06;290,116655126906;27,9474174516096;29,0116655126906
"38";110120;2013;10899;3,7;1e+06;338,640546844305;33,9480686301496;33,8640546844305
"39";110130;2013;12469;3,5;1e+06;272,220677715463;28,0696126393456;27,2220677715463
"40";110140;2013;15541;8,3;1e+06;562,352782235496;53,4071166591596;56,2352782235496
"41";110143;2013;7883;0,9;1e+06;113,993610450205;11,4169732335405;11,3993610450205
"42";110145;2013;5477;1;1e+06;188,523458973676;18,2581705313128;18,8523458973676
"43";110146;2013;2440;0,5;1e+06;221,374353056631;20,4918032786885;22,1374353056631
"44";110147;2013;3597;0,7;1e+06;190,514195465713;19,4606616624965;19,0514195465713
"45";110148;2013;6219;0,6;1e+06;91,710366402335;9,64785335262904;9,1710366402335
"46";110149;2013;18265;4,1;1e+06;228,524098996846;22,4473035860936;22,8524098996846
"47";110150;2013;12505;1,9;1e+06;145,087060085416;15,1939224310276;14,5087060085416
"48";110155;2013;5080;0,7;1e+06;136,765657977085;13,7795275590551;13,6765657977085
"49";110160;2013;11343;2,1;1e+06;185,634275938282;18,5136207352552;18,5634275938282
"50";110170;2013;13491;1,8;1e+06;128,545254682906;13,3422281521014;12,8545254682906
"51";110175;2013;10518;3,4;1e+06;318,459393860174;32,3255371743678;31,8459393860174
"52";110180;2013;8425;0,8;1e+06;92,8185364812733;9,49554896142433;9,28185364812733
"53";120001;2013;13353;3,1;1e+06;252,59517289935;23,2157567587808;25,259517289935
"54";120005;2013;6480;1,3;1e+06;196,253924787421;20,0617283950617;19,6253924787421
"55";120010;2013;22899;6;1e+06;263,901624477377;26,2020175553518;26,3901624477377
"56";120013;2013;9003;1,8;1e+06;216,581089141419;19,9933355548151;21,6581089141419
"57";120017;2013;9836;2,3;1e+06;257,71931565374;23,3834892232615;25,771931565374
"58";120020;2013;80377;20,9;1e+06;258,08315125513;26,0024633912686;25,808315125513
"59";120025;2013;16099;3,3;1e+06;223,957030870835;20,4981675880489;22,3957030870835
"60";120030;2013;32411;8,3;1e+06;311,02998536556;25,6085896763445;31,102998536556
"61";120032;2013;7147;1,7;1e+06;241,550287304254;23,786204001679;24,1550287304254
"62";120033;2013;16410;2,6;1e+06;199,938474088001;15,8439975624619;19,9938474088001
"63";120034;2013;8386;2,5;1e+06;372,584300888888;29,8115907464822;37,2584300888888
"64";120035;2013;15857;1,5;1e+06;139,373206844433;9,45954468058271;13,9373206844433
